interface_id,firewall_id,vdom_id,interface_name,ip_address,mask,type,vlan_id,description,status,physical_interface_name,last_updated
234,20,21,3p-vas-engine,192.168.101.129,27,interface,3478,,,,2025-06-19 10:16:35.285797
235,20,21,3p-vas-engine-t,192.168.101.161,27,interface,3480,,,,2025-06-19 10:16:35.285797
236,20,24,dis-centrex,213.166.34.38,28,interface,2750,,,,2025-06-19 10:16:35.285797
237,20,35,int-bookingmgr,192.168.100.81,28,interface,3382,,,,2025-06-19 10:16:35.285797
238,20,25,dt-bp,172.20.28.1,24,interface,904,,,,2025-06-19 10:16:35.285797
239,20,36,iptv-wan1,213.166.34.38,29,interface,2751,,,,2025-06-19 10:16:35.285797
240,20,35,int-resolver,192.168.99.33,28,interface,3383,,,,2025-06-19 10:16:35.285797
241,20,38,mail-fortimail,192.168.111.4,24,interface,3329,,,,2025-06-19 10:16:35.285797
242,20,40,mobileiron-vrf,213.166.34.6,29,interface,2052,,,,2025-06-19 10:16:35.285797
243,20,40,evrit-mdm1,1.1.1.2,29,interface,2643,,,,2025-06-19 10:16:35.285797
244,20,28,evrit-mdm0,1.1.1.1,29,interface,2643,,,,2025-06-19 10:16:35.285797
245,20,28,evrit-ext,10.74.0.1,24,interface,2754,,,,2025-06-19 10:16:35.285797
246,20,28,evrit-ptc0,1.1.1.9,29,interface,2642,,,,2025-06-19 10:16:35.285797
247,20,43,evrit-ptc1,1.1.1.10,29,interface,2642,,,,2025-06-19 10:16:35.285797
248,20,36,iptv-ott,192.168.239.1,24,interface,3387,,,,2025-06-19 10:16:35.285797
249,20,23,cse-prod-vrf,213.166.34.6,29,interface,2059,,,,2025-06-19 10:16:35.285797
250,20,27,evr-cse-test0,37.157.155.193,29,interface,2637,,,,2025-06-19 10:16:35.285797
251,20,27,evr-cse-prod0,37.157.155.201,29,interface,2636,,,,2025-06-19 10:16:35.285797
252,20,23,evr-cse-prod1,37.157.155.206,29,interface,2636,,,,2025-06-19 10:16:35.285797
253,20,27,evr-mobileiron0,37.157.155.113,29,interface,2647,,,,2025-06-19 10:16:35.285797
254,20,40,evr-mobileiron1,37.157.155.118,29,interface,2647,,,,2025-06-19 10:16:35.285797
255,20,21,3p-wanisam,37.157.152.134,29,interface,2720,,,,2025-06-19 10:16:35.285797
256,20,39,evr-mcr1,37.157.156.54,29,interface,2627,,,,2025-06-19 10:16:35.285797
257,20,39,mcr-p2p-dtint,172.30.2.182,29,interface,3117,,,,2025-06-19 10:16:35.285797
258,20,27,evr-mcr0,37.157.156.49,29,interface,2627,,,,2025-06-19 10:16:35.285797
259,20,39,mcr-be,172.27.44.65,26,interface,3632,,,,2025-06-19 10:16:35.285797
260,20,39,mcr-fe,172.27.44.1,27,interface,3631,,,,2025-06-19 10:16:35.285797
261,20,35,int-envox,192.168.101.110,28,interface,3367,,,,2025-06-19 10:16:35.285797
262,20,39,mcr-fileserver,172.27.44.33,28,interface,3636,,,,2025-06-19 10:16:35.285797
263,20,21,3p-p2p-dtint,172.30.1.190,29,interface,3122,p2p vers vrf ptech,,,2025-06-19 10:16:35.285797
264,20,36,iptv-alia,192.168.240.1,24,interface,3386,,,,2025-06-19 10:16:35.285797
265,20,35,int-vs-iaas,172.30.1.225,29,interface,3130,,,,2025-06-19 10:16:35.285797
266,20,44,evr-sdwan1,37.157.156.150,29,interface,2624,,,,2025-06-19 10:16:35.285797
267,20,27,evr-sdwan0,37.157.156.145,29,interface,2624,,,,2025-06-19 10:16:35.285797
268,20,44,sdwan-cplane,172.27.66.14,28,interface,3132,,,,2025-06-19 10:16:35.285797
269,20,44,sdwan-p2p-dtint,172.30.2.198,29,interface,3131,,,,2025-06-19 10:16:35.285797
270,20,44,sdwan-vbond,37.157.156.158,29,interface,3133,SDWAN Vbond,,,2025-06-19 10:16:35.285797
271,20,44,sdwan-vrf,213.166.34.38,29,interface,2761,,,,2025-06-19 10:16:35.285797
272,20,26,P2P_VRF_PTECH2,172.30.2.209,29,interface,3001,,,,2025-06-19 10:16:35.285797
273,20,26,P2P_VRF_IAAS2,172.29.0.81,29,interface,4011,,,,2025-06-19 10:16:35.285797
274,20,26,syslog,172.29.224.1,26,interface,3543,,,,2025-06-19 10:16:35.285797
275,20,26,monitor,172.29.225.1,26,interface,3544,,,,2025-06-19 10:16:35.285797
276,20,27,evr-int_nsx-pp0,37.157.156.169,29,interface,2623,,,,2025-06-19 10:16:35.285797
277,20,33,evr-int_nsx-pp1,37.157.156.174,29,interface,2623,,,,2025-06-19 10:16:35.285797
278,20,33,int_nsx-pp-vrf,213.166.34.6,29,interface,1979,,,,2025-06-19 10:16:35.285797
279,20,26,P2P_VRF_MGMT,172.29.0.89,29,interface,4013,,,,2025-06-19 10:16:35.285797
280,20,47,evr-tids1,37.157.156.206,29,interface,2634,,,,2025-06-19 10:16:35.285797
281,20,27,evr-tids0,37.157.156.201,29,interface,2634,,,,2025-06-19 10:16:35.285797
282,20,47,tids-wan1,213.166.34.38,29,interface,2779,,,,2025-06-19 10:16:35.285797
283,20,47,tids-vrf,213.166.34.6,29,interface,2079,,,,2025-06-19 10:16:35.285797
284,20,21,3p-f5,192.168.111.1,24,interface,3485,,,,2025-06-19 10:16:35.285797
285,20,35,int-billofq,192.168.101.17,29,interface,3350,RITM0051157,,,2025-06-19 10:16:35.285797
286,20,27,evr-vpc35-0,37.157.156.217,29,interface,2635,,,,2025-06-19 10:16:35.285797
287,20,34,evr-vpc35-1,37.157.156.222,29,interface,2635,,,,2025-06-19 10:16:35.285797
288,20,34,vpc35-vrf,213.166.34.6,29,interface,2035,,,,2025-06-19 10:16:35.285797
289,20,36,iptv-front,192.168.247.1,24,interface,3399,IRITM0057016,,,2025-06-19 10:16:35.285797
290,20,27,evr-splunk-soc0,37.157.155.209,29,interface,2682,,,,2025-06-19 10:16:35.285797
291,20,46,splunk-soc-vrf,213.166.34.6,29,interface,2085,,,,2025-06-19 10:16:35.285797
292,20,46,evr-splunk-soc,37.157.155.214,29,interface,2682,,,,2025-06-19 10:16:35.285797
293,20,46,evrit-splunk1,1.1.1.18,29,interface,2644,,,,2025-06-19 10:16:35.285797
294,20,28,evrit-splunk0,1.1.1.17,29,interface,2644,,,,2025-06-19 10:16:35.285797
295,20,42,P2P_ptech_psim,172.16.7.78,29,interface,3140,p2p_ptech_psim,,,2025-06-19 10:16:35.285797
296,20,42,3p-psimdmz,192.168.227.1,27,interface,4022,PSIM servers,,,2025-06-19 10:16:35.285797
297,20,35,int-learn,172.30.8.1,24,interface,3430,,,,2025-06-19 10:16:35.285797
298,20,42,dgvideo,192.200.71.250,24,interface,2722,DG Video cameras don\'t have default gateway : NAT is required,,,2025-06-19 10:16:35.285797
299,20,42,p2p_alarmis,10.2.1.1,28,interface,2787,,,,2025-06-19 10:16:35.285797
300,20,35,dmz_bittium,192.168.229.1,28,interface,4023,,,,2025-06-19 10:16:35.285797
